tempo(s),Vbb(V),Vbe(V),Vce(V)
0.2732,3.6,0.72,4.96
0.2736,3.6,0.72,5.04
0.27399999999999997,3.6,0.72,5.04
0.27440000000000003,3.6,0.72,5.04
0.2748,3.6,0.72,5.12
0.2752,3.6,0.72,5.12
0.2756,3.6,0.72,5.12
0.276,3.6,0.72,5.2
0.27640000000000003,3.6,0.72,5.2
0.2768,3.52,0.72,5.2
0.2772,3.52,0.72,5.2
0.2776,3.52,0.72,5.28
0.278,3.52,0.72,5.28
0.27840000000000004,3.52,0.72,5.28
0.2788,3.52,0.72,5.28
0.2792,3.52,0.72,5.36
0.2796,3.52,0.72,5.36
0.28,3.52,0.72,5.44
0.28040000000000004,3.52,0.72,5.44
0.2808,3.52,0.72,5.44
0.2812,3.44,0.72,5.44
0.2816,3.52,0.72,5.44
0.28200000000000003,3.44,0.72,5.44
0.28240000000000004,3.44,0.72,5.5200000000000005
0.2828,3.44,0.72,5.5200000000000005
0.2832,3.44,0.72,5.5200000000000005
0.2836,3.44,0.72,5.6000000000000005
0.28400000000000003,3.44,0.72,5.6000000000000005
0.2844,3.44,0.72,5.6000000000000005
0.2848,3.44,0.72,5.6000000000000005
0.2852,3.44,0.72,5.68
0.2856,3.44,0.72,5.68
0.28600000000000003,3.44,0.72,5.68
0.2864,3.44,0.72,5.68
0.2868,3.44,0.72,5.76
0.2872,3.44,0.72,5.76
0.2876,3.36,0.72,5.76
0.28800000000000003,3.36,0.72,5.84
0.2884,3.36,0.72,5.84
0.2888,3.36,0.72,5.84
0.2892,3.36,0.72,5.92
0.2896,3.36,0.72,5.92
0.29000000000000004,3.36,0.72,5.92
0.2904,3.36,0.72,5.92
0.2908,3.36,0.72,6.0
0.2912,3.36,0.72,6.0
0.2916,3.36,0.72,6.0
0.29200000000000004,3.28,0.72,6.08
0.2924,3.28,0.72,6.08
0.2928,3.28,0.72,6.08
0.2932,3.28,0.72,6.08
0.2936,3.28,0.72,6.16
0.29400000000000004,3.28,0.72,6.16
0.2944,3.28,0.72,6.16
0.2948,3.28,0.72,6.16
0.2952,3.28,0.72,6.16
0.29560000000000003,3.28,0.72,6.24
0.29600000000000004,3.28,0.72,6.24
0.2964,3.28,0.72,6.24
0.2968,3.28,0.72,6.24
0.2972,3.2,0.72,6.32
0.29760000000000003,3.2,0.72,6.32
0.298,3.2,0.72,6.32
0.2984,3.2,0.72,6.4
0.2988,3.2,0.72,6.4
0.2992,3.2,0.72,6.4
0.29960000000000003,3.2,0.72,6.4
0.3,3.2,0.72,6.48
0.3004,3.2,0.72,6.48
0.3008,3.2,0.72,6.48
0.3012,3.2,0.72,6.5600000000000005
0.30160000000000003,3.2,0.72,6.5600000000000005
0.302,3.2,0.72,6.5600000000000005
0.3024,3.2,0.72,6.5600000000000005
0.3028,3.12,0.72,6.6400000000000015
0.3032,3.12,0.72,6.6400000000000015
0.30360000000000004,3.12,0.72,6.6400000000000015
